game_id,drive_number,field_pos,time_remaining,is_half_one,is_half_two,UTM,score_differential,pos_team TOL,def_time TOL,result,yds_gained / 10,actual_yds_gained,field_goal_attempt,field_goal_distance
2010010309 - 42406,3,99,1292,1,0,0,0,3,3,fourth_down,0,6,0,NA
2010010309 - 42410,4,59,1161,1,0,0,0,3,3,fourth_down,0,-9,0,NA
2010010309 - 42414,5,68,1039,1,0,0,0,3,3,fourth_down,0,-2,0,NA
2010010309 - 42418,6,90,950,1,0,0,0,3,3,fourth_down,0,0,0,NA
2010010309 - 42423,7,48,889,1,0,0,0,3,3,fourth_down,0,-4,0,NA
2010010309 - 42427,8,80,801,1,0,0,0,3,3,fourth_down,0,9,0,NA
2010010309 - 42433,9,82,614,1,0,0,0,3,3,fourth_down,0,-8,0,NA
2010010309 - 42440,10,43,466,1,0,0,0,3,3,fourth_down,0,8,0,NA
2010010309 - 42444,11,65,357,1,0,0,0,3,3,fourth_down,2,29,1,54
2010010309 - 42452,12,84,234,1,0,0,-3,3,3,fourth_down,0,1,0,NA
2010010309 - 42456,13,67,138,1,0,0,3,3,3,fourth_down,4,40,1,-45
2010010309 - 42470,14,78,1791,0,1,0,-3,3,3,fourth_down,0,6,0,NA
2010010309 - 42474,15,63,1702,0,1,0,3,3,3,fourth_down,0,-3,0,NA
2010010309 - 42479,16,83,1621,0,1,0,-3,3,3,touchdown,NA,NA,0,NA
2010010309 - 42490,17,78,1373,0,1,0,-4,3,3,fourth_down,0,1,0,NA
2010010309 - 42494,18,86,1308,0,1,0,4,3,3,fourth_down,0,0,0,NA
2010010309 - 42498,19,74,1217,0,1,0,-4,3,3,fourth_down,0,7,0,NA
2010010309 - 42502,20,67,1090,0,1,0,4,3,3,fourth_down,2,21,0,NA
2010010309 - 42509,21,80,900,0,1,0,-4,3,3,fourth_down,0,8,0,NA
2010010309 - 42513,22,87,789,0,1,0,4,3,3,fourth_down,0,7,0,NA
2010010309 - 42517,23,19,677,0,1,0,-4,3,3,fourth_down,0,8,1,29
2010010309 - 42522,24,82,546,0,1,0,1,3,3,touchdown,NA,NA,0,NA
2010010309 - 42527,25,77,444,0,1,0,-8,3,3,fourth_down,0,-7,0,NA
2010010309 - 42531,26,51,379,0,1,0,8,3,3,touchdown,NA,NA,0,NA
2010010309 - 42537,27,77,239,0,1,0,-15,3,3,fourth_down,0,4,0,NA
2010010309 - 42543,28,27,162,0,1,0,15,3,3,touchdown,NA,NA,0,NA
2010010309 - 42551,29,74,130,0,1,0,-22,1,3,fourth_down,0,-1,0,NA
2010010309 - 42556,30,78,108,0,1,1,22,3,1,end_of_half,NA,NA,0,NA
2010010307 - 42561,1,60,1795,1,0,0,0,3,3,touchdown,NA,NA,0,NA
2010010307 - 42569,2,75,1672,1,0,0,-7,3,3,fourth_down,1,13,0,NA
2010010307 - 42577,3,80,1495,1,0,0,7,3,2,fourth_down,4,44,0,NA
2010010307 - 42582,4,95,1384,1,0,0,-7,2,3,fourth_down,2,25,0,NA
2010010307 - 42590,5,67,1178,1,0,0,7,3,2,fourth_down,4,49,1,36
2010010307 - 42603,6,65,880,1,0,0,-10,2,2,fourth_down,0,7,0,NA
2010010307 - 42607,7,91,763,1,0,0,10,2,2,touchdown,NA,NA,0,NA
2010010307 - 42616,8,71,527,1,0,0,-17,2,2,fourth_down,0,1,0,NA
2010010307 - 42621,9,59,382,1,0,0,17,2,2,touchdown,NA,NA,0,NA
2010010307 - 42631,10,71,151,1,0,0,-24,2,2,turnover,NA,NA,0,NA
2010010307 - 42632,11,40,144,1,0,0,24,2,2,touchdown,NA,NA,0,NA
2010010307 - 42645,12,58,2,1,0,1,-31,2,1,end_of_half,NA,NA,0,NA
2010010307 - 42648,13,77,1796,0,1,0,-31,3,3,fourth_down,0,7,0,NA
2010010307 - 42652,14,73,1704,0,1,0,31,3,3,fourth_down,6,67,1,24
2010010307 - 42664,15,80,1378,0,1,0,-34,3,3,turnover,NA,NA,0,NA
2010010307 - 42666,16,8,1371,0,1,0,34,3,3,touchdown,NA,NA,0,NA
2010010307 - 42672,17,77,1266,0,1,0,-41,3,3,fourth_down,0,-6,0,NA
2010010307 - 42676,18,41,1179,0,1,0,41,3,3,fourth_down,3,32,1,27
2010010307 - 42687,19,77,906,0,1,0,-44,3,3,touchdown,NA,NA,0,NA
2010010307 - 42701,20,79,544,0,1,0,37,3,3,fourth_down,0,7,0,NA
2010010307 - 42706,21,78,433,0,1,0,-37,3,3,fourth_down,1,11,0,NA
2010010307 - 42713,22,82,291,0,1,0,37,3,3,end_of_half,NA,NA,0,NA
2010010306 - 42728,1,80,1800,1,0,0,0,3,3,touchdown,NA,NA,0,NA
2010010306 - 42742,2,66,1376,1,0,0,-7,3,3,touchdown,NA,NA,0,NA
2010010306 - 42753,3,67,1091,1,0,0,0,3,3,touchdown,NA,NA,0,NA
2010010306 - 42761,4,68,920,1,0,0,-7,3,3,fourth_down,6,61,1,25
2010010306 - 42776,5,56,550,1,0,0,4,3,3,fourth_down,5,52,1,22
2010010306 - 42787,6,80,332,1,0,0,-7,2,3,turnover,NA,NA,0,NA
2010010306 - 42788,7,41,324,1,0,0,7,3,2,turnover,NA,NA,0,NA
2010010306 - 42789,8,77,312,1,0,0,-7,2,3,fourth_down,3,36,0,NA
2010010306 - 42805,9,84,34,1,0,1,7,2,1,end_of_half,NA,NA,0,NA
2010010306 - 42808,10,71,1794,0,1,0,-7,3,3,fourth_down,0,-4,0,NA
2010010306 - 42812,11,46,1668,0,1,0,7,3,3,fourth_down,0,6,0,NA
2010010306 - 42816,12,90,1569,0,1,0,-7,3,3,fourth_down,2,22,0,NA
2010010306 - 42823,13,90,1380,0,1,0,7,3,3,touchdown,NA,NA,0,NA
2010010306 - 42836,14,82,1116,0,1,0,-14,3,1,fourth_down,0,9,0,NA
2010010306 - 42840,15,54,994,0,1,0,14,1,3,fourth_down,5,51,1,21
2010010306 - 42851,16,61,830,0,1,0,-17,3,1,touchdown,NA,NA,0,NA
2010010306 - 42862,17,80,684,0,1,0,10,1,3,fourth_down,0,4,0,NA
2010010306 - 42866,18,62,592,0,1,0,-10,3,1,touchdown,NA,NA,0,NA
2010010306 - 42871,19,82,506,0,1,0,3,1,3,turnover,NA,NA,0,NA
2010010306 - 42874,20,13,416,0,1,0,-3,3,1,turnover,NA,NA,0,NA
2010010306 - 42876,21,98,370,0,1,0,3,1,3,fourth_down,8,83,1,33
2010010306 - 42897,22,79,36,0,1,1,-6,0,1,turnover,NA,NA,0,NA
2010010306 - 42898,23,18,26,0,1,1,6,1,0,end_of_half,NA,NA,0,NA
2010010305 - 42901,1,76,1793,1,0,0,0,3,3,touchdown,NA,NA,0,NA
2010010305 - 42910,2,75,1572,1,0,0,-7,3,3,fourth_down,3,33,0,NA
2010010305 - 42919,3,89,1325,1,0,0,7,3,2,fourth_down,0,7,0,NA
2010010305 - 42923,4,63,1229,1,0,0,-7,2,3,touchdown,NA,NA,0,NA
2010010305 - 42934,5,60,943,1,0,0,0,3,2,fourth_down,1,16,0,NA
2010010305 - 42940,6,91,878,1,0,0,0,2,3,fourth_down,5,58,1,51
2010010305 - 42951,7,79,585,1,0,0,-3,3,2,fourth_down,7,78,0,NA
2010010305 - 42962,8,99,285,1,0,0,3,1,3,defensive_touchdown,NA,NA,0,NA
2010010305 - 42964,9,82,281,1,0,0,-3,1,3,fourth_down,5,57,1,43
2010010305 - 42980,10,80,45,1,0,1,0,1,1,fourth_down,4,42,1,-56
2010010305 - 42988,11,71,1794,0,1,0,0,3,3,fourth_down,1,17,0,NA
2010010305 - 42994,12,84,1671,0,1,0,0,3,3,defensive_touchdown,NA,NA,0,NA
2010010305 - 43004,13,73,1356,0,1,0,-6,3,3,fourth_down,5,53,1,-38
2010010305 - 43004,13,73,1356,0,1,0,-6,3,3,touchdown,NA,NA,0,NA
2010010305 - 43027,14,69,835,0,1,0,-13,2,3,touchdown,NA,NA,0,NA
